127.0.0.1 - - [06/Nov/2024:19:24:31 -0300] "GET / HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [06/Nov/2024:19:24:31 -0300] "GET /OlaMundo2/cadastroapi/pessoa.html HTTP/1.1" 200 1395
0:0:0:0:0:0:0:1 - - [06/Nov/2024:19:24:31 -0300] "GET /favicon.ico HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [06/Nov/2024:19:24:33 -0300] "GET /OlaMundo2/PessoaAPI HTTP/1.1" 200 4447
0:0:0:0:0:0:0:1 - - [06/Nov/2024:19:51:36 -0300] "GET /OlaMundo2/cadastroapi/pessoa.html HTTP/1.1" 200 3369
0:0:0:0:0:0:0:1 - - [06/Nov/2024:19:51:37 -0300] "GET /OlaMundo2/PessoaAPI HTTP/1.1" 200 4447
0:0:0:0:0:0:0:1 - - [06/Nov/2024:19:54:49 -0300] "GET /OlaMundo2/cadastroapi/pessoa.html HTTP/1.1" 200 3373
0:0:0:0:0:0:0:1 - - [06/Nov/2024:19:54:50 -0300] "GET /OlaMundo2/PessoaAPI HTTP/1.1" 200 2939
0:0:0:0:0:0:0:1 - - [06/Nov/2024:19:55:07 -0300] "GET /OlaMundo2/cadastroapi/pessoa.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:19:55:09 -0300] "GET /OlaMundo2/PessoaAPI HTTP/1.1" 200 3303
0:0:0:0:0:0:0:1 - - [06/Nov/2024:20:05:34 -0300] "GET /OlaMundo2/cadastroapi/pessoa.html HTTP/1.1" 200 3471
0:0:0:0:0:0:0:1 - - [06/Nov/2024:20:05:36 -0300] "GET /OlaMundo2/PessoaAPI HTTP/1.1" 200 3303
0:0:0:0:0:0:0:1 - - [06/Nov/2024:20:07:29 -0300] "GET /OlaMundo2/cadastroapi/pessoa.html HTTP/1.1" 200 3260
0:0:0:0:0:0:0:1 - - [06/Nov/2024:20:07:30 -0300] "GET /OlaMundo2/PessoaAPI HTTP/1.1" 200 3303
0:0:0:0:0:0:0:1 - - [06/Nov/2024:20:08:58 -0300] "GET /OlaMundo2/cadastroapi/pessoa.html HTTP/1.1" 200 3343
0:0:0:0:0:0:0:1 - - [06/Nov/2024:20:08:59 -0300] "GET /OlaMundo2/PessoaAPI HTTP/1.1" 200 3303
0:0:0:0:0:0:0:1 - - [06/Nov/2024:20:09:26 -0300] "GET /OlaMundo2/cadastroapi/pessoa.html HTTP/1.1" 200 3341
0:0:0:0:0:0:0:1 - - [06/Nov/2024:20:09:28 -0300] "GET /OlaMundo2/PessoaAPI HTTP/1.1" 200 3303
0:0:0:0:0:0:0:1 - - [06/Nov/2024:20:24:34 -0300] "GET /OlaMundo2/cadastroapi/pessoa.html HTTP/1.1" 200 3898
0:0:0:0:0:0:0:1 - - [06/Nov/2024:20:24:35 -0300] "GET /OlaMundo2/PessoaAPI HTTP/1.1" 200 3303
0:0:0:0:0:0:0:1 - - [06/Nov/2024:20:25:45 -0300] "GET /OlaMundo2/cadastroapi/pessoa.html HTTP/1.1" 200 3919
0:0:0:0:0:0:0:1 - - [06/Nov/2024:20:25:47 -0300] "GET /OlaMundo2/PessoaAPI HTTP/1.1" 200 3425
0:0:0:0:0:0:0:1 - - [06/Nov/2024:20:28:54 -0300] "GET /OlaMundo2/cadastroapi/pessoa.html HTTP/1.1" 200 3946
0:0:0:0:0:0:0:1 - - [06/Nov/2024:20:28:57 -0300] "GET /OlaMundo2/PessoaAPI HTTP/1.1" 200 4901
0:0:0:0:0:0:0:1 - - [06/Nov/2024:20:31:12 -0300] "GET /OlaMundo2/cadastroapi/pessoa.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:20:31:14 -0300] "GET /OlaMundo2/PessoaAPI HTTP/1.1" 200 5204
0:0:0:0:0:0:0:1 - - [06/Nov/2024:20:31:44 -0300] "GET /OlaMundo2/cadastroapi/pessoa.html HTTP/1.1" 200 3950
0:0:0:0:0:0:0:1 - - [06/Nov/2024:20:31:46 -0300] "GET /OlaMundo2/PessoaAPI HTTP/1.1" 200 5204
0:0:0:0:0:0:0:1 - - [06/Nov/2024:20:31:59 -0300] "POST /OlaMundo2/PessoaAPI HTTP/1.1" 200 58
0:0:0:0:0:0:0:1 - - [06/Nov/2024:20:32:07 -0300] "GET /OlaMundo2/PessoaAPI HTTP/1.1" 200 5288
