127.0.0.1 - - [10/Nov/2024:13:02:35 -0300] "GET / HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [10/Nov/2024:13:02:36 -0300] "GET /OlaMundo2/cadastroapi/pessoa.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2024:13:02:36 -0300] "GET /favicon.ico HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [10/Nov/2024:13:02:38 -0300] "GET /OlaMundo2/PessoaAPI HTTP/1.1" 200 5288
0:0:0:0:0:0:0:1 - - [10/Nov/2024:13:09:17 -0300] "GET /OlaMundo2/sorveteapi/sorvete.html HTTP/1.1" 200 4231
0:0:0:0:0:0:0:1 - - [10/Nov/2024:13:09:17 -0300] "GET /OlaMundo2/SorveteAPI HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [10/Nov/2024:13:09:36 -0300] "POST /OlaMundo2/SorveteAPI HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [10/Nov/2024:13:09:38 -0300] "POST /OlaMundo2/SorveteAPI HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [10/Nov/2024:13:09:38 -0300] "POST /OlaMundo2/SorveteAPI HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [10/Nov/2024:13:09:38 -0300] "POST /OlaMundo2/SorveteAPI HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [10/Nov/2024:13:09:38 -0300] "POST /OlaMundo2/SorveteAPI HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [10/Nov/2024:13:09:39 -0300] "POST /OlaMundo2/SorveteAPI HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [10/Nov/2024:13:09:39 -0300] "POST /OlaMundo2/SorveteAPI HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [10/Nov/2024:13:10:06 -0300] "GET /OlaMundo2/sorveteAPI/* HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [10/Nov/2024:13:14:25 -0300] "GET /OlaMundo2/sorveteapi/sorvete.html HTTP/1.1" 200 4228
0:0:0:0:0:0:0:1 - - [10/Nov/2024:13:14:25 -0300] "GET /sorveteAPI HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [10/Nov/2024:13:14:37 -0300] "POST /sorveteAPI HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [10/Nov/2024:13:14:38 -0300] "POST /sorveteAPI HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [10/Nov/2024:13:14:38 -0300] "POST /sorveteAPI HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [10/Nov/2024:13:16:18 -0300] "GET /OlaMundo2/sorveteapi/sorvete.html HTTP/1.1" 200 4230
0:0:0:0:0:0:0:1 - - [10/Nov/2024:13:16:18 -0300] "GET /OlaMundo2/sorveteAPI HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [10/Nov/2024:13:17:06 -0300] "POST /sorveteAPI HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [10/Nov/2024:13:17:06 -0300] "POST /sorveteAPI HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [10/Nov/2024:13:17:07 -0300] "POST /sorveteAPI HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [10/Nov/2024:13:17:07 -0300] "POST /sorveteAPI HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [10/Nov/2024:13:17:07 -0300] "POST /sorveteAPI HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [10/Nov/2024:13:17:07 -0300] "POST /sorveteAPI HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [10/Nov/2024:13:17:08 -0300] "POST /sorveteAPI HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [10/Nov/2024:13:17:31 -0300] "GET /OlaMundo2/sorveteapi/sorvete.html HTTP/1.1" 200 4232
0:0:0:0:0:0:0:1 - - [10/Nov/2024:13:17:31 -0300] "GET /OlaMundo2/sorveteAPI HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [10/Nov/2024:13:17:35 -0300] "POST /OlaMundo2/sorveteAPI HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [10/Nov/2024:13:17:37 -0300] "GET /OlaMundo2/sorveteAPI HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [10/Nov/2024:13:18:03 -0300] "GET /OlaMundo2/sorveteapi/sorvete.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2024:13:18:03 -0300] "GET /OlaMundo2/sorveteAPI HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [10/Nov/2024:13:18:04 -0300] "GET /OlaMundo2/sorveteapi/sorvete.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2024:13:18:04 -0300] "GET /OlaMundo2/sorveteAPI HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [10/Nov/2024:13:18:04 -0300] "GET /OlaMundo2/sorveteapi/sorvete.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2024:13:18:04 -0300] "GET /OlaMundo2/sorveteAPI HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [10/Nov/2024:13:18:04 -0300] "GET /OlaMundo2/sorveteapi/sorvete.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2024:13:18:04 -0300] "GET /OlaMundo2/sorveteAPI HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [10/Nov/2024:13:18:06 -0300] "GET /OlaMundo2/sorveteapi/sorvete.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Nov/2024:13:18:06 -0300] "GET /OlaMundo2/sorveteAPI HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [10/Nov/2024:13:18:09 -0300] "POST /OlaMundo2/sorveteAPI HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [10/Nov/2024:13:18:10 -0300] "GET /OlaMundo2/sorveteAPI HTTP/1.1" 200 323
0:0:0:0:0:0:0:1 - - [10/Nov/2024:13:19:16 -0300] "POST /OlaMundo2/sorveteAPI HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [10/Nov/2024:13:19:17 -0300] "GET /OlaMundo2/sorveteAPI HTTP/1.1" 200 416
